fit,n_obs,n_sites,intercept_mean,intercept_lo,intercept_hi,sd_site_mean,sd_site_lo,sd_site_hi,re_site_min,re_site_max,re_site_sd_posteriormean,nu_median,sigma_median
"Ch1 CHM (19-site, err_p3d)",204672,19,-1.05445580682518,-2.9182654825,0.768547802249999,4.06906134231667,2.9717492975,5.62293391,-6.44344315371667,10.7514113146667,4.02877977689512,4.48674155,2.31467415869698
"Task 4 (18-site, err_alt)",66024,18,0.422595741905198,-1.4785219825,2.32292643,3.9169014037,2.76929372,5.5243598225,-3.96153035856,9.59250747998333,3.85123165336474,3.24270975,1.92969492429793
"Task 4 (15-site, err_alt, flagged dropped)",39834,15,-1.20013878996425,-1.94647455,-0.410935528000001,1.338095378245,0.92371379975,2.024312985,-2.49079893858333,2.67152612667333,1.20700960265012,2.07791955,1.21614602851204
"Track B (16-site, err_p3d, flagged dropped)",124966,16,-2.42503394034667,-3.6234429975,-1.237472125,1.51644895751167,0.98753924725,2.3153598875,-2.17256621125283,2.10428169628067,1.2789585385655,2.7959547,1.6710492656321
