fit_key,label,response,n_sites,sd_mean,sd_median,sd_lo,sd_hi,V_mean,V_median,V_lo,V_hi
full,"Ch1 full (19, err_p3d)",err_p3d,19,4.06906134231667,3.9832558,2.9717492975,5.62293391,17.0232527288209,15.8663268085543,8.83129388798237,31.6173857579838
trackB,"Track B (16, err_p3d)",err_p3d,16,1.51644895751167,1.46614485,0.98753924725,2.3153598875,2.41537494750418,2.14958072400644,0.975233785315999,5.36089143358286
alt18,"Phase 3 (18, err_alt)",err_alt,18,3.9169014037,3.8312183,2.76929372,5.5243598225,15.8359908974747,14.6782336634041,7.66898770780017,30.5185525547316
alt15,"Phase 3 (15, err_alt)",err_alt,15,1.338095378245,1.29333575,0.92371379975,2.024312985,1.86877157284093,1.67271736225669,0.853247188338975,4.0978430643184
