fit_key,label,response,n_sites,R2_total,R2_FE,R2_RE,pct_FE_of_R2,pct_RE_of_R2,sd_site,pct_RE_var_at_site,n_grouping_factors,grouping_factors
alt15,"Phase 3 (15, err_alt)",err_alt,15,0.164001659795032,0.0434562189886562,0.120545440806376,26.4974263327379,73.5025736672621,1.338095378245,92.5617030591832,3,ecoregion;lc_l1_code;site
alt18,"Phase 3 (18, err_alt)",err_alt,18,0.497277475453963,0.0814494998218183,0.415827975632144,16.3790848856493,83.6209151143507,3.9169014037,99.3068123509024,3,ecoregion;lc_l1_code;site
full,"Ch1 full (19, err_p3d)",err_p3d,19,0.405673876868518,0.0395926115854791,0.366081265283039,9.75971435259838,90.2402856474016,4.06906134231667,98.3940296175671,3,ecoregion;lc_l1_code;site
trackB,"Track B (16, err_p3d)",err_p3d,16,0.130609499690445,0.0211236093705057,0.109485890319939,16.1731033504994,83.8268966495006,1.51644895751167,55.9402064409469,3,ecoregion;lc_l1_code;site
