tracker_site,manuscript_site,site_short_name,flag_status,dominant_lc,n,p3d_mean_bias,p3d_median_bias,p3d_sd,p3d_mae,p3d_rmse,alt_mean_bias,alt_median_bias,alt_sd,alt_mae,alt_rmse,dtm_mean_bias,dtm_sd,dtm_rmse,var_err_p3d,var_err_alt,var_reduction_frac,rmse_reduction_frac,corr_errP3D_errDTM,n_forest_fp,cover_avg,rh_98_avg,wsci_avg,slope_mean_avg,meta_az_concentration_avg,meta_stereo_ratio_avg,meta_fwd_rev_ratio_avg,meta_leaf_on_ratio_avg,meta_abs_geoacc_avg_avg,meta_rel_geoacc_avg_avg,meta_off_nadir_avg_avg,meta_sun_elev_avg_avg,meta_fwd_ratio_avg,meta_rev_ratio_avg,meta_tot_ct_avg,meta_fwd_minus_rev_avg
1,1,usda_me,FLAGGED,BDF,232214,4.34805647979881,4.2249,3.66303843481476,4.64953936024529,5.68536612226398,6.87091005624123,6.76820000000001,4.16248802848217,6.94630978407848,8.03340755686419,2.52285357644242,3.393048779162,4.22818171412027,13.4178505749302,17.3263065872574,-0.291287787898735,-0.412997401417167,-0.305913778745847,2438547,0.412051321955246,12.6929278090601,9.33312141143886,5.85908105081886,0.263467723473148,0.367687858862923,,0.646815500841349,9.82906240026284,2.37365054590589,22.6103751477461,42.6264299077698,0.702218171542241,0.29778182845776,33.3354792833601,0.404436343084481
2,2,nasa_howland,FLAGGED,ENF,1542,6.11825064850843,6.2467,2.97565275040875,6.18335428015564,6.80306975306478,8.11853573281453,7.9732,3.51916697346488,8.13442457846952,8.8480013085434,2.0002850843061,2.45356505250822,3.16499887466863,8.85450929101515,12.384536187126,-0.398669963528392,-0.300589532329487,-0.170522464879757,10910,0.502973473877177,14.3263015582035,9.48913660861595,3.83181666666667,0.377879950895268,0.37125061909761,,0.591539250595903,7.49545669260363,2.34704221783511,21.8533559851642,43.5586285057433,0.756718973998209,0.243281026001791,39.5500458295142,0.513437947996418
3,3,neon_sawb,FLAGGED,BDF,6931,9.81902783148175,9.7726,6.60997571653464,9.91157032174289,11.8363331614239,10.6283247727601,10.4277,7.37590635641281,10.7276228249892,12.936670077042,0.809296941278315,1.92311853539947,2.08633957923516,43.6917789731777,54.4039945785709,-0.245176915592507,-0.0929626515755952,0.275879458932032,7471,0.353623437290858,18.6559336099585,9.53518934546915,4.74449926382011,0.129801004578606,0.254883118500867,,0.694013063223688,7.25195003794539,2.39061860237637,22.6203967252534,48.3461830260146,0.664527114276302,0.335472885723698,50.4991299692143,0.329054228552605
4,4,neon_harv2019,ok,BDF,13387,-7.49758293867185,-7.1427,5.53606337628311,7.77667931575409,9.31984217910546,-1.28020614775528,-1.63810000000004,2.11199651076156,1.96883643086577,2.4696404280075,6.21737679091656,5.21203703467394,8.11289559768558,30.6479977062232,4.460529261469,0.854459358023142,0.735012634275687,-0.924525006395738,63171,0.525754111855123,21.5601701730224,9.87589228285131,6.46709861022619,0.247529508333728,0.159154400398944,,0.685664408021458,12.4848297088167,2.30109236087371,19.7755836191497,46.809793150144,0.705152951856212,0.294847048143788,27.3471687958082,0.410305903712424
5,5,usda_sc,ok,ENF,212175,-1.51739173936609,-0.4749,4.98774213299625,3.45081512195122,5.21343763995633,1.17299247130906,1.716,4.79981771663739,3.38676390997997,4.94105786945808,2.69038421067515,3.25017444728198,4.21921217189311,24.877571585266,23.0382501129461,0.0739349283355789,0.0522457137322799,-0.382546755410304,957153,0.346755243205632,15.3417061640093,9.18421823323962,2.38835828114817,0.374854433362069,0.25261629192714,,0.661677410473256,10.7228651393646,3.00387722239501,28.1319854935301,50.2822552540683,0.654418402195467,0.345581597804533,50.9577862682351,0.308836804390935
6,6,neon_jerc2021,ok,ENF,18941,0.530123272266512,-0.3135,3.67385051993489,2.72405482815057,3.71180491621967,1.6842813631804,0.678400000000002,4.228901229013,3.29279633071116,4.55186391940649,1.15415809091389,1.78175822375789,2.12286967541368,13.4971776428258,17.8836056047477,-0.324988533010333,-0.226320892974725,0.092558939008936,30026,0.279154009858123,16.5156427762606,9.2560658629188,2.32842760274429,0.1655515618572,0.124070810519469,,0.539046839662629,6.06312228610219,2.40147945821061,21.0584823505677,49.7277254378805,0.738624770819302,0.261375229180698,23.6214614001199,0.477249541638603
7,7,neon_tall2021,ok,ENF,18080,-4.38523896017699,-4.58535,5.81798677158861,5.99549966814159,7.28542508263491,-1.36293689712389,-2.07035,3.41403946063889,2.95197413163717,3.67595127179077,3.0223020630531,5.24333824098041,6.05189103185787,33.84897007438,11.6556654387995,0.655656718263887,0.495437640206809,-0.814371499336851,28506,0.519221549849155,24.0363277906406,10.0491971900653,11.2903829496319,0.186795694408504,0.0864129469126627,,0.749376290284834,12.3350987279765,2.4180893179573,21.803995368894,57.0732044675535,0.73427861628413,0.26572138371587,36.1047849575528,0.46855723256826
8,8,neon_dela2021,ok,IWL,7194,-3.31021113427857,-3.28155,3.45202340505297,3.91042867667501,4.78250006769465,-1.21340429524604,-1.3345,2.86000735562469,2.29591716708368,3.1065825353662,2.09680683903253,2.51053030933213,3.27085390082203,11.9164655890335,8.17964207422734,0.313584886968927,0.350427079687698,-0.579224076585065,8130,0.443086088560886,16.0645239852399,9.4513518696187,3.38217648630595,0.235015691354401,0.191161481526824,,0.71151736383308,10.6355146712143,2.28992819255982,19.7735426919656,57.6575588799522,0.74046589970195,0.25953410029805,23.7250922509225,0.4809317994039
9,9,neon_leno2021,ok,ENF,11520,-3.19589186631944,-3.8706,5.04656979211288,4.98148103298611,5.97322197273449,-2.49949764756944,-3.4965,5.29209987281365,4.75397438368056,5.85246772308745,0.69639421875,2.92606913933114,3.0076739014148,25.4678666666662,28.0063210638342,-0.0996728320590152,0.0202159320712078,-0.203954236716298,15413,0.453807746707325,17.0713008499319,9.60919987023941,7.60528339713229,0.173661837229762,0.070562825071598,,0.62802393221139,6.40898827192938,2.28927640957278,19.60911137971,56.0746634006939,0.559335759990064,0.440664240009936,36.2756763770843,0.118671519980127
11,11,neon_konz2020,ok,BDF,12474,-2.46337015392015,-1.99495,2.28833752571409,2.62072277537278,3.36218104131195,-1.92485727112394,-1.76499999999997,1.5558599108976,2.04551811768478,2.47499121551733,0.538512882796216,1.94541298755009,2.01849558222339,5.2364886315913,2.42070006233829,0.537724564561373,0.263873305718372,-0.74132679822176,9436,0.258230277660025,10.5389476473082,8.61485049809241,10.4931271089445,0.150615703817117,0.247504995893345,,0.615390483965801,9.61577470467853,2.32208336086298,20.4873369409753,47.7172853727798,0.596191833588176,0.403808166411824,41.1026918185672,0.192383667176352
