stratum,n,p3d_mean_bias,p3d_median_bias,p3d_sd,p3d_mae,p3d_rmse,alt_mean_bias,alt_median_bias,alt_sd,alt_mae,alt_rmse,dtm_mean_bias,dtm_sd,dtm_rmse,var_err_p3d,var_err_alt,var_reduction_frac,rmse_reduction_frac,corr_errP3D_errDTM
all_18_sites,608891,0.53544168381533,0.4137,5.49928282987116,4.08601502190047,5.52528368250476,2.96156693496866,2.36829999999998,5.40523835094106,4.57885370879189,6.16339454825668,2.42612525115333,3.43035632525159,4.20159599754826,30.2421116429158,29.216601630484,0.0339100002189161,-0.115489249497258,-0.339072193137789
non_flagged_15_sites,368204,-2.06718012161736,-1.385,4.79533938078166,3.61217643887628,5.22192023871799,0.330160030037696,0.426699999999991,4.30481150355218,2.95514442238542,4.31744801907083,2.39734015165506,3.47090902481764,4.21834286686769,22.9952797768755,18.5314020811152,0.194121477932583,0.1732068239842,-0.496001619615718
lc_BDF,284093,3.0581556652223,3.453,5.22978009595796,4.827207065292,6.0582852071693,5.6649560320036,5.73059999999999,5.07931566926809,6.24371912929921,7.60861904022136,2.6068003667813,3.56704029099231,4.41804705751876,27.350599852078,25.7994476680724,0.0567136440295593,-0.25590307818744,-0.382606643668363
lc_ENF,311962,-1.64499184644284,-1.0533,4.78267053024836,3.46772539027189,5.0576538288951,0.672875391233548,0.999399999999998,4.54873851573563,3.17393175258525,4.59822977364202,2.31786723767638,3.32399106614759,4.05233139338513,22.8739374009061,20.6910220845368,0.0954324250394637,0.0908373864237861,-0.416159361011999
lc_IWL,7194,-3.31021113427857,-3.28155,3.45202340505297,3.91042867667501,4.78250006769465,-1.21340429524604,-1.3345,2.86000735562469,2.29591716708368,3.1065825353662,2.09680683903253,2.51053030933213,3.27085390082203,11.9164655890335,8.17964207422734,0.313584886968927,0.350427079687698,-0.579224076585065
lc_GRS,5642,-1.02559195320808,-0.77175,1.41221181511322,1.17544555122297,1.7452299515547,-1.29124844026941,-1.07924999999996,1.2548428099698,1.34048023750443,1.80046491812488,-0.265656487061326,0.791974980709921,0.835276342664952,1.99434221074538,1.5746304777329,0.2104512108058,-0.0316491053347892,-0.468035589529566
