component,interp,V_mean_m2,V_median_m2,V_lo_m2,V_hi_m2,frac_mean,frac_lo,frac_hi
Reference quality (Ch1 full -> Track B),"Clean: both err_p3d, drops 3 flagged sites",14.6078777813168,13.506738606763,5.96971127857374,29.4745483583279,0.842245690004108,0.601139821953366,0.952980188345389
CNN-DTM compensation upper bound (Track B -> Phase 3 15-site),Confounded: DTM swap + Site 10 removal,0.546603374663251,0.445404935855465,-2.07732651475087,3.58674542131673,0.035721395297026,-0.148458264883225,0.255111942209623
Alt: DTM swap with flagged in (Ch1 -> Phase 3 18-site),"Confounded: DTM swap + Site 10 removal, flagged still in",1.18726183134628,1.14083782928528,-15.6499263913218,17.8465968052243,-0.0345324714679499,-1.34004709812434,0.640491215776551
Total reduction (Ch1 full -> Phase 3 15-site),Reference + DTM + Site 10,15.15448115598,13.9953528592019,6.80881568422208,29.8196290493166,0.877967085301134,0.698675262571197,0.960420289508519
Remainder (Phase 3 15-site V_site),"Unexplained, target of Tasks 1/2/3/6",1.86877157284093,1.67271736225669,0.853247188338975,4.0978430643184,0.122032914698866,0.0395797104914807,0.301324737428803
