predictor,est_full,lo_full,hi_full,est_alt,lo_alt,hi_alt,shift,includes_zero_full,includes_zero_alt,status_preserved,cis_overlap_bw_fits
wsci_z:lc_l1_codeWTR,1.1121272340457,-0.3735000035,2.1295221725,1.1823565418439,-0.44983757375,2.4336147925,0.0702293077981993,TRUE,TRUE,TRUE,TRUE
wsci_z:lc_l1_codeIWL,0.224337391332854,-1.1127421425,1.275006145,0.281845776400072,-1.154395005,1.428066595,0.0575083850672185,TRUE,TRUE,TRUE,TRUE
meta_relgeo_z,-0.0949984354868333,-0.12308250775,-0.067528306025,-0.042921110161828,-0.085477871325,-0.00134066412250007,0.0520773253250053,FALSE,FALSE,TRUE,TRUE
aspect_cos_z,0.137516738,0.12441564925,0.15047034,0.0948782182765,0.0736741973,0.11557616725,-0.0426385197235,FALSE,FALSE,TRUE,FALSE
meta_sunel_z,-0.00572898399602089,-0.034665534775,0.0228817413,0.0260611666866267,-0.0145353182,0.067204934975,0.0317901506826476,TRUE,TRUE,TRUE,TRUE
aspect_sin_z,-0.0134435898308622,-0.02634900435,-0.000697357535000007,0.0170029614747213,-0.0037263072125,0.037799148125,0.0304465513055835,FALSE,TRUE,FALSE,TRUE
slope_mean_z:lc_l1_codeSVG,0.588345775144402,0.1725429915,1.02266991,0.559721202245107,-0.0835415539,1.17245843,-0.0286245728992958,FALSE,TRUE,FALSE,TRUE
wsci_z,-0.868250306698843,-1.55968022,0.0321775180249993,-0.844574768729467,-1.6437847275,0.11318403725,0.0236755379693766,TRUE,TRUE,TRUE,TRUE
sslope_mean_zwsci_z_2,0.0299475813126483,-3.861048805,3.9068376,0.0436326612127567,-3.8971865575,3.9358329675,0.0136850799001083,TRUE,TRUE,TRUE,TRUE
slope_mean_z:lc_l1_codeIMP,0.24668934813093,-0.064021845025,0.54943528075,0.238805746221745,-0.32409758875,0.77775746875,-0.00788360190918486,TRUE,TRUE,TRUE,TRUE
sigma_slope_mean_z,0.050499852649,0.046275303125,0.054687829,0.0439300329353333,0.036067268825,0.05173928425,-0.00656981971366667,FALSE,FALSE,TRUE,TRUE
sslope_mean_zwsci_z_1,-0.0205980255837483,-3.910115755,3.8395336975,-0.01567003317565,-3.7903649875,3.7652607075,0.00492799240809834,TRUE,TRUE,TRUE,TRUE
