frame,slope,n,pearson_r,pearson_p,spearman_rho,spearman_p
18_sites_dtm_ok,b_rh98_uni,18,-0.448484207370319,0.0619388564704798,-0.453044375644995,0.0590167068731308
18_sites_dtm_ok,b_rh98_partial,18,-0.432365732679815,0.0731368296137685,-0.415892672858617,0.0860564803375041
15_non_flagged_dtm_ok,b_rh98_uni,15,-0.477302921033027,0.0719907022711986,-0.553571428571429,0.0322871037701237
15_non_flagged_dtm_ok,b_rh98_partial,15,-0.418297431684523,0.12074060493812,-0.407142857142857,0.132012663779854
