Product,Site var (m²),Site %,Ecoregion var (m²),Ecoregion %,Land cover var (m²),Land cover %,Total RE var (m²)
CHM,"2.15 [0.98, 5.36]","56.9 [21.0, 87.1]","1.55 [0.42, 5.63]","40.5 [11.1, 77.6]","0.09 [0.04, 0.22]","2.1 [0.7, 6.2]","4.08 [2.20, 8.76]"
DTM,"2.19 [1.04, 4.95]","80.4 [35.5, 96.0]","0.44 [0.05, 2.83]","16.1 [1.6, 62.2]","0.08 [0.04, 0.21]","2.8 [0.9, 8.1]","2.91 [1.64, 6.14]"
